"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mapIds"
"ENSMUSG00000021374",799.956363559613,0.457299160148958,0.122162045019552,3.74338167043428,0.00018156012354036,0.00560713126160442,"Nup153"
"ENSMUSG00000028656",5545.08199094385,0.517911901915684,0.138383196696983,3.74259241206686,0.000182131519259362,0.00561138537908606,"Cap1"
"ENSMUSG00000042903",799.50970117727,-0.48499814787783,0.129664878509732,-3.74039719507723,0.000183729683709076,0.00564717840188941,"Foxo4"
"ENSMUSG00000027429",1556.43306393798,0.572959039668603,0.153494136550747,3.73277476614996,0.000189381929698069,0.00579338574537354,"Sec23b"
"ENSMUSG00000086784",679.822749648919,-0.751633667163999,0.201355819047936,-3.73286290268601,0.000189315650051285,0.00579338574537354,"Isoc2a"
"ENSMUSG00000078922",341.438124571999,1.13717052334032,0.305004433776023,3.72837374611871,0.000192719418104772,0.00588157846763149,"Tgtp1"
"ENSMUSG00000030678",2405.51114999934,-0.470950440605333,0.126403067924857,-3.72578330840275,0.000194709622252392,0.00592833532222578,"Maz"
"ENSMUSG00000034853",1368.55165754001,0.482090457090654,0.129504614496934,3.72257358522207,0.000197202409835954,0.00599013892788086,"Acot11"
"ENSMUSG00000022788",751.55434881061,0.534757493008549,0.144185843814362,3.70880718149449,0.000208237924153634,0.00629579144520567,"Fgd4"
"ENSMUSG00000079620",3500.44376815194,0.631072045998033,0.170137234832978,3.70919420794367,0.000207919904252161,0.00629579144520567,NA
"ENSMUSG00000044042",639.927082628776,0.63481796333192,0.171225936327638,3.70748717715993,0.000209326012254917,0.00631393612722289,"Fmn1"
"ENSMUSG00000024424",59.4037289772176,-2.02489797192518,0.546465082773483,-3.70544804372163,0.00021101738418414,0.00635015104963436,"Ttc39c"
"ENSMUSG00000016831",996.070130922414,0.45003427018491,0.121560103236475,3.70215439278989,0.000213776456754503,0.00638860819954565,"Tox4"
"ENSMUSG00000034522",515.559691153047,-0.654917057402449,0.176889892448828,-3.70239954547944,0.000213569932508589,0.00638860819954565,"Zfp395"
"ENSMUSG00000075702",2235.84170929579,-0.61935892555774,0.167271607369689,-3.70271401881663,0.000213305284701996,0.00638860819954565,"Selenom"
"ENSMUSG00000027660",1167.8949277584,0.514659570478766,0.139071011390722,3.70069625101685,0.000215008720857625,0.00641062868179187,"Skil"
"ENSMUSG00000059149",1588.284094896,0.531805365879967,0.143815895799283,3.69782048725811,0.000217458579560459,0.00646876786094791,"Mfsd4a"
"ENSMUSG00000020275",46.5702540974566,1.80731746844501,0.489374311620842,3.6931187958335,0.000221520476007315,0.0065594392666697,"Rel"
"ENSMUSG00000024958",837.050668019355,-0.68339885559105,0.185036103769606,-3.69332709492181,0.00022133902402499,0.0065594392666697,"Gpr137"
"ENSMUSG00000052926",722.141885719696,-0.535826252651041,0.145213520224605,-3.68991986298705,0.000224324706309897,0.00662730981655266,"Rnaseh2a"
"ENSMUSG00000037851",1231.9649490358,0.549179212055009,0.148884456797813,3.68862689811066,0.000225467566091515,0.00664590046748111,"Iars"
"ENSMUSG00000007817",636.048185128551,0.784981726922607,0.21285167142456,3.68792841357049,0.000226087232445715,0.0066490199723808,"Zmiz1"
"ENSMUSG00000034269",2305.97623054052,0.434929408370135,0.117992251545203,3.68608449007782,0.000227730773439879,0.00668216827281641,"Setd5"
"ENSMUSG00000044452",257.42363270965,0.757024635117777,0.205526336243963,3.68334612951587,0.000230192255926101,0.00672390020696106,"Zfp507"
"ENSMUSG00000045205",330.385053909996,0.616771836503153,0.16743769599625,3.68359008306568,0.000229971959694037,0.00672390020696106,"Dpy19l4"
"ENSMUSG00000042699",2454.52933124296,0.491462748717694,0.133455451630354,3.68259777111954,0.000230869278779233,0.00672848753919657,"Dhx9"
"ENSMUSG00000021254",201.518809171922,0.714565200509164,0.194150915997019,3.68046267945568,0.000232811133369149,0.00676701855181353,"Gpatch2l"
"ENSMUSG00000022263",795.050018362673,0.574906224307746,0.156305112537165,3.67810249438289,0.000234975540963788,0.00676701855181353,"Trio"
"ENSMUSG00000026192",1526.78581561434,0.661587771255626,0.179887716810191,3.67778180182087,0.000235271084947585,0.00676701855181353,"Atic"
"ENSMUSG00000027667",260.863046166598,-0.600916841206669,0.16340665107829,-3.67743196033535,0.000235593889796508,0.00676701855181353,"Zfp639"
"ENSMUSG00000031386",2103.88785334827,0.427140115716101,0.116160565546558,3.67715251476544,0.000235852037625031,0.00676701855181353,"Hcfc1"
"ENSMUSG00000034789",1117.73498298636,-0.617717202708949,0.167981636573537,-3.67729006163441,0.000235724940639672,0.00676701855181353,"Rab24"
"ENSMUSG00000061013",242.271280597133,-0.807500051681685,0.219555371544308,-3.67788793324387,0.000235173237712035,0.00676701855181353,"Mkx"
"ENSMUSG00000073434",284.980363284655,-0.765300936091214,0.208174201162738,-3.67625254146142,0.000236685225127107,0.00677590002908134,"Wdr90"
"ENSMUSG00000024944",469.563505407512,-0.699615174007322,0.19057504346374,-3.67107445598161,0.0002415329598336,0.0068937252935702,"Arl2"
"ENSMUSG00000068547",1052.60205999647,-1.01595379742736,0.276772207268236,-3.67072188156068,0.000241866405199449,0.0068937252935702,"Clca4a"
