"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mapIds"
"ENSMUSG00000024331",4669.44100031861,0.886817636280047,0.117108259182226,7.57263102084132,3.65740031965085e-14,3.08607589077065e-11,"Dsc2"
"ENSMUSG00000071711",2511.77218899183,-1.36639793631645,0.181520014563235,-7.52753320125173,5.17078632333412e-14,4.14490231678463e-11,"Mpst"
"ENSMUSG00000007872",810.945816663076,-6.44289927841639,0.868070414072449,-7.42209292468602,1.15283879663102e-13,8.80110075599453e-11,"Id3"
"ENSMUSG00000033964",421.751643460841,1.35391850336703,0.182911603998861,7.40203723420119,1.34110881940372e-13,9.77302572394568e-11,"Zbtb41"
"ENSMUSG00000054452",11110.4509481508,-0.976828653619845,0.133124881113095,-7.33768658009157,2.17317332013627e-13,1.51479628993151e-10,"Tle5"
"ENSMUSG00000028572",3834.27745319734,1.15699783319872,0.158068690499642,7.31958890493463,2.48731747112658e-13,1.66152807071255e-10,"Hook1"
"ENSMUSG00000003344",1091.43722925933,-0.989138805786229,0.135568452166578,-7.29623146077407,2.95939628410013e-13,1.85308211848733e-10,"Btbd2"
"ENSMUSG00000009470",1973.27617402396,1.0277227150586,0.140994885911024,7.2890779578144,3.12083440613509e-13,1.85308211848733e-10,"Tnpo1"
"ENSMUSG00000023025",1982.71816331154,0.957967063584989,0.131378803432647,7.29164095390857,3.06202301544004e-13,1.85308211848733e-10,"Larp4"
"ENSMUSG00000034653",459.525418472671,1.1764758162455,0.16348799303993,7.19609920196501,6.19595578431968e-13,3.54762725479333e-10,"Ythdc2"
"ENSMUSG00000021831",1169.81344066619,0.959188343630798,0.133411810737429,7.18968087104822,6.49429361579545e-13,3.59022466373905e-10,"Ero1a"
"ENSMUSG00000059775",218.363558102535,-3.36537930706297,0.46854440657879,-7.18262614985896,6.83849117594413e-13,3.65448968442455e-10,"Rps26-ps1"
"ENSMUSG00000027660",1167.8949277584,1.13292331539891,0.15833956706007,7.15502345013428,8.36586199506559e-13,4.32649998402876e-10,"Skil"
"ENSMUSG00000025931",428.415413232168,1.30106766656929,0.183028316598012,7.10855943360308,1.17260401930664e-12,5.87474613672628e-10,"Paqr8"
"ENSMUSG00000006262",1814.11825723714,0.825747154382194,0.116411217209978,7.09336414628107,1.30890443202287e-12,6.35889571339112e-10,"Mob1b"
"ENSMUSG00000044134",1346.91303553062,-1.14156572133703,0.161176145152317,-7.08272133111397,1.4135074332441e-12,6.6651032852263e-10,"Pheta1"
"ENSMUSG00000025498",2149.27349081491,-1.6083803973589,0.227694353724202,-7.06376935155395,1.62045634983176e-12,7.42261605728651e-10,"Irf7"
"ENSMUSG00000035284",675.470596408012,1.71222317776895,0.243907359565231,7.01997340638271,2.21910478942025e-12,9.88241332888486e-10,"Vps13c"
"ENSMUSG00000073664",934.634028901038,1.05045991369853,0.150597216721775,6.97529434185514,3.05231085124e-12,1.3225580423535e-09,"Nbeal1"
"ENSMUSG00000003226",2094.4419792659,1.21772555955208,0.174954075346879,6.96025832572183,3.39649351699096e-12,1.43296273853682e-09,"Ranbp2"
"ENSMUSG00000070544",1830.74705002221,0.889461296669104,0.127864817318712,6.95626299181314,3.49417311951636e-12,1.43637393466888e-09,"Top1"
"ENSMUSG00000025757",1248.80572823027,1.13421159339413,0.163581153543271,6.93363244375277,4.10169531581716e-12,1.64395948257952e-09,"Hspa4l"
"ENSMUSG00000067851",3157.79710248269,0.845586661428823,0.122764558101448,6.88787280715057,5.6632810193853e-12,2.214481007385e-09,"Arfgef1"
