"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mapIds"
"ENSMUSG00000022788",751.55434881061,0.424851226087983,0.144712096569781,2.93583768156603,0.00332648335330835,0.0209185954002774,"Fgd4"
"ENSMUSG00000040928",298.278243538702,-0.630397071298789,0.214906448849044,-2.93335576793973,0.00335319412178104,0.0210778164941332,"S100pbp"
"ENSMUSG00000031568",508.982290421752,0.410123692466432,0.1398240070873,2.93314217643876,0.00335550193221799,0.0210835747702904,"Rwdd4a"
"ENSMUSG00000056487",48.6783130506101,-2.12131863802203,0.723264017487981,-2.93297964053255,0.00335725906687739,0.0210858696534518,"Mettl7a2"
"ENSMUSG00000021125",99.2809566698404,1.01308628988975,0.345444332061235,2.93270491324827,0.0033602309793412,0.0210957891032076,"Arg2"
"ENSMUSG00000044937",68.5372062330154,-1.03337287115617,0.352671706724602,-2.93012694654047,0.00338823553901582,0.0212627921211892,"Ttc41"
"ENSMUSG00000041057",978.065535505309,0.41017654561937,0.140078385944821,2.92819297461741,0.00340938367883217,0.0213866473501567,"Wdr43"
"ENSMUSG00000030739",13444.0510343036,-0.399067368652802,0.136304766861346,-2.92775797825727,0.00341415692291668,0.0214077248448944,"Myh14"
"ENSMUSG00000027479",2278.65681812301,0.353935171506299,0.12092617279302,2.92686986887529,0.00342392110114387,0.0214600665127135,"Mapre1"
"ENSMUSG00000032867",780.285738112374,0.431702936898367,0.147507248128144,2.9266557567621,0.00342627892276719,0.0214659633585609,"Fbxw8"
"ENSMUSG00000019970",629.403088491222,-0.985516014029574,0.336794368176893,-2.92616536126862,0.00343168477189027,0.021490943616935,"Sgk1"
"ENSMUSG00000075703",1521.6482657256,0.505597264560502,0.172807068990894,2.92579040610395,0.00343582330689516,0.0215079699488243,"Selenoi"
"ENSMUSG00000025870",169.033805758733,0.697084912343304,0.238323112351733,2.92495723752759,0.00344503560057462,0.021547830021926,"Arl10"
"ENSMUSG00000040312",615.027226729349,-0.652471133575925,0.223064999275746,-2.92502694593229,0.00344426397806451,0.021547830021926,"Cchcr1"
"ENSMUSG00000034795",231.145949054584,0.682746406058947,0.23352733335967,2.92362524008017,0.00345981012707878,0.0216313097875016,"Ccdc122"
