"gene_id","D1","D3","Z3","MP2","Z1","Z2","MS1","MP1","D7","D9","ZH2","D4","D5","D6"
"ENSMUSG00000000001",3778,3383,1584,947,4420,3442,5097,2819,4100,3976,4389,4335,3891,3642
"ENSMUSG00000000003",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028",396,196,159,130,283,153,400,202,286,194,284,270,246,256
"ENSMUSG00000000031",3,1,12,0,1,11,11,1,0,6,0,9,12,10
"ENSMUSG00000000037",42,17,7,19,64,6,41,27,37,25,32,23,18,28
"ENSMUSG00000000049",5,3,0,0,1,0,1,10,8,3,2,8,4,0
"ENSMUSG00000000056",1195,1192,612,248,1353,901,990,414,1049,945,1261,1073,1036,1107
"ENSMUSG00000000058",108,138,86,34,202,219,359,166,182,248,211,207,180,229
"ENSMUSG00000000078",3283,2767,1374,711,3137,1880,4103,2453,3135,2671,3433,1636,2130,1710
"ENSMUSG00000000085",1082,1185,663,524,925,666,1423,1010,1160,1310,1156,978,1105,1138
"ENSMUSG00000000088",6893,6476,1674,1092,5629,3335,4478,5384,5048,4781,5870,3826,4270,4364
"ENSMUSG00000000093",11,15,8,6,10,0,1,16,8,8,8,3,6,1
"ENSMUSG00000000094",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000103",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120",0,1,0,0,3,10,0,0,0,1,0,0,0,0
"ENSMUSG00000000125",1,2,0,3,4,7,1,4,2,1,0,4,0,2
"ENSMUSG00000000126",5,0,0,0,1,0,3,2,0,0,1,2,0,3
"ENSMUSG00000000127",295,251,104,89,330,197,301,192,289,264,302,294,299,244
"ENSMUSG00000000131",1576,1161,795,725,1296,1048,1843,1346,1322,1348,1500,996,1305,1120
"ENSMUSG00000000134",821,615,353,237,667,441,653,567,580,651,725,392,590,527
"ENSMUSG00000000142",1366,1082,631,292,1277,551,563,453,631,399,762,355,451,456
"ENSMUSG00000000148",463,384,155,135,379,229,334,305,354,333,332,302,370,330
"ENSMUSG00000000149",708,465,220,158,504,354,600,512,506,361,514,373,510,429
"ENSMUSG00000000154",3354,3169,1564,1294,2064,1162,2247,2523,2511,2724,2733,2326,2041,2041
"ENSMUSG00000000157",97,83,18,36,63,56,90,44,111,70,117,110,100,80
"ENSMUSG00000000159",1517,1059,857,660,1068,754,1516,1290,1345,1307,1285,1185,1105,1032
"ENSMUSG00000000167",69,50,33,7,30,35,34,32,51,45,33,44,34,38
"ENSMUSG00000000168",2354,2382,1032,744,2718,1626,2452,1616,2338,2503,2958,1958,2184,1966
"ENSMUSG00000000171",9418,7951,3585,3092,7486,6405,6200,6557,7209,7941,7458,8298,6267,7209
"ENSMUSG00000000182",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000183",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000184",4342,3553,2402,563,5454,3276,4636,2453,3360,3789,4664,3994,4831,5057
"ENSMUSG00000000194",2331,1950,984,761,1734,1113,1872,1432,2013,1925,2056,1532,1688,1593
"ENSMUSG00000000197",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000202",8,4,11,2,0,0,4,3,6,2,3,5,9,1
"ENSMUSG00000000204",3191,1517,934,1577,1251,1072,2299,2575,2449,1834,1939,1136,1265,1082
"ENSMUSG00000000214",6,4,0,1,1,0,1,0,3,3,1,1,0,2
"ENSMUSG00000000215",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000216",50,14,3,0,29,6,16,7,6,13,24,2,6,9
"ENSMUSG00000000223",5,2,0,2,4,0,7,11,8,5,10,1,6,7
"ENSMUSG00000000244",2,2,3,0,1,0,0,4,0,0,4,3,3,2
"ENSMUSG00000000247",8,0,0,0,1,0,2,0,0,0,1,0,0,0
"ENSMUSG00000000248",23,59,22,4,36,0,43,21,19,24,46,34,27,25
"ENSMUSG00000000253",602,789,344,255,472,151,573,283,408,490,482,418,376,424
"ENSMUSG00000000263",0,0,0,0,0,0,0,0,0,1,1,0,0,0
"ENSMUSG00000000266",1098,990,442,229,1075,920,1694,694,1191,1129,1266,1008,1085,865
"ENSMUSG00000000275",3200,2419,1662,1069,2719,1946,3669,2492,2566,2443,3118,1437,1903,1726
"ENSMUSG00000000276",198,161,121,83,209,201,307,189,223,196,290,221,242,176
"ENSMUSG00000000278",951,919,352,260,998,735,1363,801,1151,1062,1337,842,907,879
"ENSMUSG00000000282",516,525,317,195,495,280,673,457,624,371,575,423,658,569
"ENSMUSG00000000290",48,38,27,11,23,52,44,37,48,53,78,36,48,46
"ENSMUSG00000000295",475,413,374,368,378,344,371,450,347,377,341,551,344,426
"ENSMUSG00000000296",265,76,72,87,111,154,153,84,117,63,86,93,140,114
"ENSMUSG00000000301",215,115,85,69,119,68,114,146,140,112,122,120,124,123
"ENSMUSG00000000303",25054,24210,12721,8065,28534,22101,34866,25262,22770,23845,31612,14998,20564,18426
"ENSMUSG00000000305",2,1,0,4,0,0,4,2,1,1,3,3,0,2
"ENSMUSG00000000308",47679,57059,20048,13226,41383,19402,31903,35194,32714,40344,41342,30867,28420,31283
"ENSMUSG00000000317",16,5,0,1,3,0,2,0,1,0,5,3,2,2
"ENSMUSG00000000318",1,1,0,0,0,0,0,4,0,2,0,0,0,1
"ENSMUSG00000000320",4,2,11,2,1,0,7,0,4,1,6,4,3,2
"ENSMUSG00000000325",197,195,136,70,213,161,128,102,133,99,140,101,157,147
"ENSMUSG00000000326",2601,2188,1539,937,2104,1184,1577,1891,1492,1847,2287,977,1378,1284
"ENSMUSG00000000339",620,570,223,139,481,243,451,176,630,524,732,577,574,523
"ENSMUSG00000000340",883,896,520,391,1076,733,1007,675,726,781,945,608,647,672
"ENSMUSG00000000346",8283,7880,3227,2376,7635,5462,8546,6688,6916,7014,7148,6582,6502,6360
"ENSMUSG00000000355",804,747,423,282,625,666,698,806,579,635,657,724,495,608
"ENSMUSG00000000359",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000365",5,6,1,1,1,8,6,13,6,5,9,1,3,10
"ENSMUSG00000000374",2854,2712,1381,656,3126,1769,3856,2020,3012,3072,3492,2578,3152,2756
"ENSMUSG00000000378",908,772,538,381,738,347,579,605,571,739,796,629,642,568
"ENSMUSG00000000381",0,2,0,1,2,0,2,0,4,2,2,4,0,1
"ENSMUSG00000000384",2979,2793,1629,1475,2298,1623,2643,2534,2920,2941,2760,2066,2114,2197
"ENSMUSG00000000385",18286,17508,7472,4838,17814,11391,20116,14612,16818,20548,21352,17039,16354,16587
"ENSMUSG00000000386",290,161,234,227,107,137,239,202,236,309,317,140,205,120
"ENSMUSG00000000392",84,68,50,102,72,75,73,101,85,66,61,46,68,51
"ENSMUSG00000000394",1694,1008,253,440,1491,1421,1140,1315,956,1253,1177,791,852,738
"ENSMUSG00000000399",4365,4407,1224,977,3728,2018,3173,2638,3743,3554,4035,3200,2856,2939
"ENSMUSG00000000402",3,1,0,0,9,12,5,6,1,5,6,4,2,0
"ENSMUSG00000000409",244,97,70,50,87,112,60,182,141,89,148,135,87,132
"ENSMUSG00000000411",5,0,0,1,0,0,0,3,0,0,1,0,0,0
"ENSMUSG00000000416",433,436,446,227,633,286,418,325,262,221,331,247,272,235
"ENSMUSG00000000420",2128,1816,746,653,2500,1861,3076,1603,2301,2003,2403,2315,2171,2077
"ENSMUSG00000000435",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000439",370,324,151,117,396,219,435,226,297,274,353,290,324,280
"ENSMUSG00000000440",1475,1331,574,286,1153,864,1658,1130,1671,1376,1512,1419,1357,1592
"ENSMUSG00000000441",3115,2602,1226,1241,2473,1924,2850,2476,2407,2436,2477,2102,2172,2166
"ENSMUSG00000000486",96,52,100,44,81,33,50,99,41,65,87,43,57,61
"ENSMUSG00000000489",90,175,29,62,70,67,57,34,55,104,46,39,105,128
"ENSMUSG00000000530",172,205,77,73,95,111,148,89,172,170,167,117,127,177
"ENSMUSG00000000531",248,128,153,40,163,106,92,183,104,97,111,97,168,137
"ENSMUSG00000000532",1759,1644,580,238,1450,1486,2113,614,1889,1839,2411,1608,2072,1765
"ENSMUSG00000000538",1601,1467,914,657,1128,811,1317,1117,1254,1260,1347,740,967,850
"ENSMUSG00000000544",17259,17177,7539,5023,14840,10065,17368,10473,16388,17249,19826,13471,14009,13497
"ENSMUSG00000000552",37,36,25,11,24,7,22,32,12,25,19,11,37,16
"ENSMUSG00000000555",486,415,340,285,391,318,355,430,523,669,574,394,396,359
"ENSMUSG00000000560",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000561",948,707,520,374,781,646,1138,1091,703,745,817,739,742,759
"ENSMUSG00000000562",3,5,5,3,0,0,5,0,6,3,3,3,3,1
"ENSMUSG00000000563",10958,10083,3582,2701,9880,6941,8134,7472,9261,9000,9219,11699,7571,9204
"ENSMUSG00000000567",2845,1804,1359,638,2759,2096,2701,1640,1576,1761,2324,1581,2057,1810
"ENSMUSG00000000568",3796,3813,1831,1351,3379,3164,3982,2859,3396,3592,4527,2412,3464,3224
"ENSMUSG00000000579",45,2,3,2,11,5,6,5,4,4,14,5,8,6
"ENSMUSG00000000581",1050,893,418,375,957,989,964,946,867,929,830,1230,769,922
"ENSMUSG00000000594",720,798,357,270,635,257,511,352,353,433,567,372,320,436
"ENSMUSG00000000600",714,452,377,226,600,630,683,582,595,645,606,556,530,478
"ENSMUSG00000000605",2204,1753,1253,840,2044,1632,2239,1865,1852,1924,1990,1656,1655,1557
"ENSMUSG00000000606",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000617",0,0,0,0,0,0,2,0,0,0,0,0,0,0
"ENSMUSG00000000627",5,21,0,0,4,0,8,0,7,6,9,6,3,0
"ENSMUSG00000000628",5809,4249,2517,1159,4451,3370,9135,5047,5778,7983,7490,5426,6439,5004
"ENSMUSG00000000631",5321,4595,3051,1970,3759,2688,4538,4510,4864,5451,6483,3214,4768,3953
"ENSMUSG00000000632",3,0,0,0,6,0,10,0,1,0,0,0,3,0
"ENSMUSG00000000673",18,1,10,2,7,10,4,13,5,10,1,3,6,6
"ENSMUSG00000000682",109,64,15,19,42,49,40,60,32,66,71,64,46,62
"ENSMUSG00000000686",3,0,0,0,2,0,1,1,3,5,9,4,0,3
"ENSMUSG00000000690",2417,1037,510,666,322,782,423,1657,807,539,433,472,607,622
"ENSMUSG00000000693",42,4,4,2,10,20,5,2,15,16,23,13,21,13
"ENSMUSG00000000701",0,0,0,0,0,0,0,0,0,0,0,0,0,0
