gene_id,D1,D3,Z3,Z1,Z2,MS1,D7,D9,ZH2,D4,D5,D6
ENSMUSG00000000916,386,208,200,243,142,206,255,219,259,180,226,239
ENSMUSG00000000934,242,240,196,188,197,231,228,216,233,156,254,211
ENSMUSG00000000938,1120,1240,895,1476,755,954,1393,1574,1567,1355,1246,1031
ENSMUSG00000000942,44,43,19,24,48,32,14,15,26,25,22,34
ENSMUSG00000000948,467,347,231,299,263,363,366,324,470,327,313,299
ENSMUSG00000000957,906,1335,941,1364,1344,1141,1601,1266,815,898,1069,1145
ENSMUSG00000000958,557,827,188,774,683,756,1115,857,563,668,625,797
ENSMUSG00000000959,2457,2231,1224,2001,1044,2163,1728,1818,1823,1738,1643,1529
ENSMUSG00000000976,687,532,441,604,389,672,579,643,608,433,572,491
ENSMUSG00000000982,0,0,0,2,0,2,1,5,7,1,4,0
ENSMUSG00000000983,751,797,461,880,313,723,784,1170,785,1480,858,813
ENSMUSG00000001014,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001016,1584,1080,631,1199,764,1074,1047,956,1141,973,1002,930
ENSMUSG00000001017,3727,2879,1375,2784,1849,2474,2797,2839,2871,2384,2384,2696
ENSMUSG00000001018,705,635,247,649,235,689,636,576,599,482,555,520
ENSMUSG00000001020,18,11,0,14,0,5,7,16,9,12,5,14
ENSMUSG00000001021,0,3,0,2,0,2,0,4,1,0,0,0
ENSMUSG00000001023,0,0,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000001025,28280,28096,12037,21610,14132,10904,16681,21464,19243,17545,16532,17144
ENSMUSG00000001027,1,0,0,0,0,1,0,0,0,0,0,0
ENSMUSG00000001029,1,2,10,0,0,2,4,7,2,0,0,4
ENSMUSG00000001034,550,462,235,425,224,347,380,408,463,260,402,328
ENSMUSG00000001036,376,285,174,323,216,404,301,341,342,336,307,303
ENSMUSG00000001039,134,94,57,133,78,71,112,96,106,89,87,99
ENSMUSG00000001052,1205,1071,631,1334,847,1441,1145,1143,1232,1034,1084,1006
ENSMUSG00000001053,358,341,251,345,254,292,232,292,297,240,374,290
ENSMUSG00000001054,736,630,371,629,401,643,599,597,591,672,583,573
ENSMUSG00000001056,1845,1347,987,1277,860,910,1502,1292,1545,1574,1115,1435
ENSMUSG00000001062,715,786,341,537,368,474,510,556,594,331,466,440
ENSMUSG00000001065,691,474,290,391,229,405,464,546,472,345,326,382
ENSMUSG00000001076,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001082,962,919,429,795,364,690,656,663,789,518,636,650
ENSMUSG00000001089,2485,2375,1384,2369,1789,2827,2612,2564,2983,2186,2151,1925
ENSMUSG00000001095,5917,6908,3220,3031,1327,2905,4208,4268,3991,1783,2095,1872
ENSMUSG00000001098,1307,1140,418,1609,914,1482,1680,1392,1524,1158,1388,1263
ENSMUSG00000001100,1766,1532,620,1339,898,1243,1088,1168,1292,1048,1110,1160
ENSMUSG00000001103,0,0,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000001105,1292,1083,712,921,843,698,976,1126,1033,1196,910,1001
ENSMUSG00000001119,4,3,0,54,7,33,2,1,8,21,13,11
ENSMUSG00000001120,0,0,0,2,0,0,0,2,0,2,2,0
ENSMUSG00000001123,5185,3282,1577,2803,3001,6278,5256,3910,5294,5697,5049,5031
ENSMUSG00000001127,2954,2375,1662,2031,1277,2164,2113,2009,2195,1380,1765,1654
ENSMUSG00000001128,147,97,57,87,85,67,44,94,77,41,71,59
ENSMUSG00000001131,3,2,0,15,0,2,1,1,6,2,6,3
ENSMUSG00000001134,369,226,138,222,215,222,216,241,264,367,178,244
ENSMUSG00000001138,688,693,348,547,288,635,587,521,548,287,473,417
ENSMUSG00000001143,690,454,263,451,268,414,370,512,495,326,357,315
ENSMUSG00000001150,907,807,582,903,505,1003,939,781,915,683,786,693
ENSMUSG00000001151,1000,840,473,903,741,1124,975,826,1059,753,923,756
ENSMUSG00000001155,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001156,9909,11407,5462,7973,3590,6539,7040,8301,11408,3099,4649,3097
ENSMUSG00000001157,1118,814,464,1067,952,1020,875,874,956,740,754,790
ENSMUSG00000001158,764,509,320,525,296,399,512,492,527,436,385,400
ENSMUSG00000001166,140,117,84,82,96,131,115,107,154,86,104,96
ENSMUSG00000001168,14,21,13,18,32,30,26,17,33,15,21,17
ENSMUSG00000001173,506,420,298,593,341,732,512,536,635,420,509,450
ENSMUSG00000001175,27803,24871,12200,21716,16673,23490,25095,26206,27387,28160,22561,21984
ENSMUSG00000001211,1818,1498,786,1427,1215,1384,1237,1347,1621,1061,1371,1176
ENSMUSG00000001225,7592,9316,5125,6670,5800,11150,6855,10047,10852,9536,7564,6433
