gene_id,MP1,MP2
ENSMUSG00000060636,4882,3831
ENSMUSG00000025982,6159,2529
ENSMUSG00000016921,5928,2759
ENSMUSG00000068735,5554,3129
ENSMUSG00000032366,5814,2869
ENSMUSG00000023022,6478,2204
ENSMUSG00000038467,5721,2946
ENSMUSG00000058655,5745,2921
ENSMUSG00000005803,6675,1980
ENSMUSG00000030281,5452,3202
ENSMUSG00000029064,6066,2575
ENSMUSG00000071172,5868,2735
ENSMUSG00000027546,5780,2820
ENSMUSG00000028618,6327,2254
ENSMUSG00000001525,4519,4044
ENSMUSG00000022575,6079,2474
ENSMUSG00000025137,4749,3768
ENSMUSG00000061518,5105,3369
ENSMUSG00000022174,5664,2806
ENSMUSG00000025575,5540,2928
ENSMUSG00000060032,4799,3663
ENSMUSG00000030189,5368,3068
ENSMUSG00000051695,6329,2101
ENSMUSG00000064254,5619,2793
ENSMUSG00000036594,6809,1595
ENSMUSG00000047126,5976,2404
ENSMUSG00000026123,6339,2034
ENSMUSG00000026385,5868,2475
ENSMUSG00000029390,6182,2157
ENSMUSG00000020440,5454,2880
ENSMUSG00000013593,5616,2717
ENSMUSG00000030884,5933,2382
ENSMUSG00000013858,4863,3447
ENSMUSG00000003644,4914,3394
ENSMUSG00000021484,5717,2557
ENSMUSG00000020315,6129,2143
ENSMUSG00000061665,5744,2520
ENSMUSG00000009079,5276,2974
ENSMUSG00000037373,4891,3352
ENSMUSG00000032902,5661,2577
ENSMUSG00000027808,6464,1765
ENSMUSG00000034320,6214,2010
ENSMUSG00000068747,5636,2587
ENSMUSG00000067212,5947,2267
ENSMUSG00000021266,5684,2501
ENSMUSG00000030538,5436,2708
ENSMUSG00000013787,4757,3351
ENSMUSG00000058600,5149,2933
ENSMUSG00000055065,5813,2263
ENSMUSG00000019428,5022,3053
ENSMUSG00000024411,5768,2267
ENSMUSG00000029086,5698,2333
ENSMUSG00000049922,5592,2432
ENSMUSG00000032330,6006,2008
ENSMUSG00000027957,6282,1727
ENSMUSG00000027366,6408,1584
ENSMUSG00000079477,5181,2788
ENSMUSG00000018965,5813,2147
ENSMUSG00000037965,5333,2617
ENSMUSG00000091747,5399,2536
ENSMUSG00000018677,4533,3369
ENSMUSG00000038462,5643,2234
ENSMUSG00000001924,5615,2240
ENSMUSG00000029467,5963,1880
ENSMUSG00000021270,5373,2469
ENSMUSG00000063015,5694,2147
ENSMUSG00000022186,5435,2405
ENSMUSG00000020407,6319,1516
ENSMUSG00000030536,5342,2482
ENSMUSG00000060992,5303,2520
ENSMUSG00000020263,3862,3949
ENSMUSG00000005103,5603,2208
ENSMUSG00000027907,5517,2292
ENSMUSG00000021248,5512,2273
ENSMUSG00000009013,5697,2054
ENSMUSG00000063696,4037,3712
ENSMUSG00000006301,5413,2329
ENSMUSG00000028478,4998,2733
ENSMUSG00000021877,5940,1790
ENSMUSG00000029260,5289,2441
ENSMUSG00000007815,5426,2294
ENSMUSG00000058135,3739,3976
ENSMUSG00000063694,5541,2174
ENSMUSG00000058546,4808,2905
ENSMUSG00000022354,5372,2332
ENSMUSG00000001348,4775,2925
ENSMUSG00000053907,5218,2480
ENSMUSG00000026110,5952,1744
ENSMUSG00000031078,5529,2167
ENSMUSG00000020349,5391,2295
ENSMUSG00000015165,5461,2223
ENSMUSG00000033335,4477,3206
ENSMUSG00000045983,5910,1742
ENSMUSG00000042406,5354,2292
ENSMUSG00000046519,5547,2087
ENSMUSG00000028434,5584,2041
ENSMUSG00000025153,4432,3177
ENSMUSG00000069682,3661,3944
ENSMUSG00000024782,5347,2258
ENSMUSG00000034101,6111,1492
ENSMUSG00000024479,6063,1512
ENSMUSG00000035561,4615,2953
ENSMUSG00000033880,5274,2286
ENSMUSG00000007564,5049,2510
ENSMUSG00000028412,5233,2326
ENSMUSG00000031891,5518,2035
ENSMUSG00000031231,4946,2606
ENSMUSG00000023039,6026,1500
ENSMUSG00000044783,3638,3866
ENSMUSG00000025002,4224,3262
ENSMUSG00000001156,5371,2093
ENSMUSG00000026234,4676,2784
ENSMUSG00000020841,5391,2064
ENSMUSG00000020250,5037,2416
ENSMUSG00000022982,4570,2831
ENSMUSG00000028293,5129,2267
ENSMUSG00000034243,4832,2554
ENSMUSG00000026083,5082,2292
ENSMUSG00000060803,5511,1859
ENSMUSG00000022961,4788,2574
ENSMUSG00000025232,4573,2773
ENSMUSG00000035011,4995,2333
ENSMUSG00000062185,4470,2832
ENSMUSG00000000787,5427,1875
ENSMUSG00000019851,5957,1333
ENSMUSG00000029430,5038,2237
ENSMUSG00000007836,5462,1808
